name,url,error_orig,type_error_orig,error_app,type_error_app,pdfs,pdf_avec_criteres
"Créer un agrégateur territorial à La Rochelle et une coopérative locale permettant d’évaluer, vérifier et garantir les réductions de la consommation énergétique - AGREMOB",/aides/7ee8-creer-un-agregateur-territorial-a-la-rochelle/,False,url not starting with http,False,url not starting with http,[],False
Accompagner les projets de développement local en zone rurale,/aides/bbee-accompagner-les-projets-de-developpement-loca/,True,,True,,[],False
Réduire les émissions de polluants atmosphériques des entreprises - Fonds Air Entreprise,/aides/5949-reduire-les-emissions-de-polluants-atmospheri/,True,,False,url not starting with http,[],False
Changer le comportement des usagers grâce à la création d’un compte individuel de mobilité décarbonnée - ECO_MODE,/aides/cd9e-changement-comportemental-des-usagers-grace-a/,False,url not starting with http,False,url not starting with http,[],False
Aide à la création et au développement d'entreprises,/aides/b4d6-aie-a-la-creation-et-au-developpement-dentrep/,True,,False,url not starting with http,"['http://www.cc-madetmoselle.fr/images/Documents/REGLEMENT-PLAN.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REG-2020-2023.pdf', 'http://www.cc-madetmoselle.fr/images/FR-MODIF.pdf']",True
Aide au développement numérique,/aides/a0bf-aide-au-developpement-numerique/,True,,False,url not starting with http,"['http://www.cc-madetmoselle.fr/images/Documents/REGLEMENT-PLAN.pdf', 'http://www.cc-madetmoselle.fr/images/Documents/REG-2020-2023.pdf', 'http://www.cc-madetmoselle.fr/images/FR-MODIF.pdf']",True
Développer la chaleur renouvelable sur le territoire de la Métropole de Lyon (aide à la décision) - Prime éco-chaleur,/aides/bf5f-prime-eco-chaleur-aide-a-la-decision/,True,,False,Status 404,[],False
Développer la chaleur renouvelable sur le territoire de la Métropole de Lyon (aide aux travaux) - Prime éco-chaleur,/aides/9ae9-prime-eco-chaleur-aide-aux-travaux/,True,,False,Status 404,[],False
Favoriser l'installation de jeunes agriculteurs,/aides/09d9-aide-a-linstallation-jeunes-agriculteurs/,False,url not starting with http,False,url not starting with http,[],False
Installer des chauffages à énergie renouvelable,/aides/61ad-aide-financiere-aux-installations-de-chauffag/,False,Status 404,False,url not starting with http,[],False
Développer des projets agricoles en Seine Aval,/aides/b488-developpement-agricole-en-seine-aval/,False,url not starting with http,True,,[],False
Aider à l'acquisition de véhicules propres,/aides/98ed-dispositif-daide-a-lacquisition-de-vehicules-/,False,url not starting with http,False,url not starting with http,[],False
Financer la préservation du patrimoine naturel,/aides/9c6e-aider-au-financement-du-patrimoine-naturel/,False,url not starting with http,False,url not starting with http,[],False
